fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,price,nasd_price,next_year_date,next_year_price,nasd_ny_price,symbol,Nasdaq_Performance,Stock_Performance,Label
2020-12-31,4027000000,4027000000,4485000000,1240000000,-2515000000,186000000,,1127000000,5000000,-376000000,5000000,376000000,4027000000,77000000,,483000000,-2841000000,-663000000,376000000,-2515000000,-2805000000,-2465000000,-1982000000,-2178000000,62008000000,11095000000,245000000,6900000000,1614000000,1342000000,29055000000,,,6120000000,2029000000,4091000000,6619000000,,6619000000,1275000000,11175000000,77303000000,16569000000,1196000000,21114000000,2797000000,4448000000,52306000000,472000000,29324000000,2697000000,28410000000,29324000000,4135000000,1502000000,-6867000000,,-6664000000,6000000,621479522.0,-2863000000,2300000000,,,,,148000000,,,-2515000000,1696000000,1269000000,0,0,0,,0,,,0,216000000,,1443000000,,-2515000000,,-2178000000.0,2021-01-28,-3.86,-4.1212,0.2612,6.338,18.100000381469727,13337.160156,2022-01-28,15.640000343322754,13770.570313,AAL,3.2496434917970163,-13.591160145308345,0
2020-09-30,-2310000000,2833000000,5143000000,1156000000,-2871000000,70000000,,1941000000,5000000,-340000000,,340000000,3173000000,111000000,,498000000,-3095000000,-696000000,340000000,-2399000000,-2412000000,-2755000000,-2257000000,-2399000000,62773000000,12340000000,253000000,8300000000,1633000000,1135000000,58988000000,32256000000,16670000000,6130000000,2039000000,4091000000,8031000000,,8031000000,1288000000,10198000000,70037000000,16584000000,1077000000,21040000000,2710000000,4446000000,51717000000,,29593000000,2610000000,32203000000,29593000000,4107000000,1605000000,-5528000000,,-4487000000,5000000,508603895.0,-2604000000,214000000,,,,,577000000,,,-2399000000,923000000,1511000000,0,0,0,,0,,,0,2100000000,,0,,-2399000000,,-2399000000.0,2020-10-22,-5.54,-5.7547,0.2147,3.7309,13.149999618530272,11506.009766,2021-10-22,19.14999961853028,15090.200195,AAL,31.150594358012818,45.62737774946497,1
2020-06-30,-2601000000,1368000000,3969000000,866000000,-2486000000,43000000,,1133000000,10000000,-254000000,,254000000,1622000000,71000000,,499000000,-2659000000,-592000000,254000000,-2067000000,-2050000000,-2405000000,-1906000000,-2067000000,64544000000,13789000000,462000000,9800000000,1653000000,879000000,58620000000,33351000000,16493000000,6140000000,2049000000,4091000000,9351000000,,9351000000,1444000000,9081000000,67713000000,18000000000,1175000000,20689000000,2575000000,4379000000,49713000000,,28193000000,2471000000,27307000000,28193000000,4973000000,1416000000,-3169000000,,-2088000000,5000000,508556154.0,-908000000,262000000,,,,,388000000,,,-2067000000,-6799000000,7688000000,0,2000000,2000000,,0,,,0,7766000000,,1525000000,,-2067000000,,-2067000000.0,2020-07-23,-7.82,-7.8956,0.0756,0.9575,11.770000457763672,10461.419922,2021-07-23,21.200000762939453,14836.990234,AAL,41.825778380220946,80.11894595089508,1
2020-03-31,1241000000,8258000000,7017000000,2197000000,-2549000000,305000000,,2857000000,21000000,-257000000,,257000000,8515000000,-105000000,,560000000,-2890000000,-649000000,257000000,-2241000000,-2390000000,-2633000000,-2073000000,-2241000000,58580000000,7175000000,474000000,3600000000,1772000000,1020000000,58792000000,34206000000,16441000000,6150000000,2059000000,4091000000,3102000000,,3102000000,807000000,8580000000,61216000000,19213000000,1648000000,20081000000,3518000000,5270000000,42003000000,,21033000000,3415000000,23181000000,21033000000,3728000000,1336000000,-2636000000,,-21000000,4000000,422886533.0,-168000000,241000000,,,,,845000000,,,-2241000000,-162000000,526000000,0,171000000,171000000,,43000000,43000000,,0,1698000000,,-171000000,,196000000,,-2241000000.0,2020-04-30,-2.65,-2.3551,-0.2949,-12.5218,12.010000228881836,8889.549805,2021-04-30,21.71999931335449,13962.679688,AAL,57.06846796838436,80.84928309261723,1
2019-12-31,11189000000,11313000000,124000000,2633000000,729000000,503000000,,124000000,24000000,-265000000,,265000000,11313000000,83000000,,513000000,571000000,157000000,265000000,771000000,29000000,836000000,1349000000,414000000,59995000000,8206000000,280000000,3826000000,1851000000,1750000000,59116000000,34995000000,18659000000,6184000000,2084000000,4100000000,3546000000,,3546000000,779000000,8057000000,69242000000,18311000000,2062000000,18845000000,2861000000,4569000000,41802000000,558000000,20896000000,2749000000,23645000000,20896000000,3679000000,1453000000,-118000000,,2264000000,4000000,428202506.0,600000000,2353000000,,,,,1139000000,,,771000000,639000000,-1272000000,0,272000000,272000000,,43000000,43000000,,0,410000000,,-272000000,,771000000,,414000000.0,2020-01-23,1.15,1.1559,-0.0059,-0.5104,28.799999237060547,9402.480469,2021-01-22,15.81999969482422,13543.05957,AAL,44.03709334628769,-45.069444048919785,0
2019-09-30,4329000000,11627000000,7298000000,2854000000,808000000,424000000,,2508000000,34000000,-284000000,,284000000,11911000000,-1000000,,499000000,557000000,132000000,284000000,425000000,406000000,841000000,1340000000,425000000,61175000000,9572000000,312000000,5168000000,1800000000,1850000000,58455000000,34619000000,18500000000,6186000000,2095000000,4091000000,4856000000,,4856000000,754000000,8142000000,61015000000,19560000000,1932000000,19416000000,3608000000,5280000000,41455000000,,21055000000,3504000000,24559000000,21055000000,3582000000,1361000000,160000000,,1894000000,4000000,438035288.0,828000000,259000000,,,,,806000000,,,425000000,-469000000,-366000000,0,200000000,200000000,,45000000,45000000,,0,961000000,,-200000000,,425000000,,425000000.0,2019-10-24,1.42,1.3975,0.0225,1.61,29.40999984741211,8185.799805,2020-10-23,12.600000381469728,11548.280273,AAL,41.07699367319184,-57.15742792641174,0
2019-06-30,4615000000,11685000000,7070000000,2864000000,1153000000,401000000,,2277000000,35000000,-275000000,,275000000,11960000000,-31000000,,489000000,882000000,220000000,275000000,662000000,644000000,1157000000,1646000000,662000000,61967000000,9850000000,319000000,5407000000,1708000000,1943000000,59105000000,34702000000,18114000000,6196000000,2105000000,4091000000,5088000000,,5088000000,792000000,8313000000,61989000000,20123000000,2118000000,19764000000,3500000000,5139000000,41866000000,,21222000000,3417000000,22621000000,21222000000,3600000000,1367000000,-22000000,,1514000000,5000000,445262351.0,736000000,293000000,,,,,1018000000,,,662000000,-1933000000,1179000000,0,17000000,17000000,,44000000,44000000,,0,2189000000,,-17000000,,662000000,,662000000.0,2019-07-25,1.82,1.7883,0.0317,1.7726,31.670000076293945,8238.540039,2020-07-24,11.390000343322754,10363.179688,AAL,25.789031053345358,-64.03536370102964,0
2018-12-31,10711000000,10938000000,227000000,2748000000,571000000,472000000,,227000000,34000000,-261000000,7000000,268000000,10938000000,58000000,,473000000,396000000,71000000,261000000,571000000,253000000,664000000,1137000000,325000000,60580000000,8637000000,275000000,4760000000,1522000000,1706000000,49029000000,34098000000,17443000000,6228000000,2137000000,4091000000,4485000000,,4485000000,649000000,8694000000,73627000000,18096000000,1773000000,18150000000,3294000000,4948000000,42653000000,613000000,20566000000,3213000000,23779000000,20566000000,3769000000,1393000000,-169000000,,758000000,5000000,460610870.0,716000000,292000000,,,,,1009000000,,,571000000,-390000000,-354000000,0,0,0,,46000000,46000000,,0,205000000,,0,,571000000,,325000000.0,2019-01-24,1.04,1.0057,0.0343,3.4106,33.65999984741211,7073.459961,2020-01-24,27.63999938964844,9314.910156,AAL,31.68817251187379,-17.88473109047416,0
2018-09-30,4077000000,11294000000,7217000000,3043000000,685000000,395000000,,2341000000,29000000,-265000000,-3000000,262000000,11559000000,44000000,,468000000,496000000,124000000,265000000,341000000,355000000,758000000,1226000000,372000000,52635000000,9498000000,303000000,4855000000,1576000000,2170000000,49375000000,34223000000,17277000000,6238000000,2147000000,4091000000,4552000000,,4552000000,897000000,8914000000,66802000000,16348000000,1886000000,,2493000000,2493000000,36855000000,,25985000000,2493000000,23492000000,-242000000,3687000000,2366000000,-568000000,,-316000000,5000000,460559470.0,-77000000,262000000,,,,,1005000000,,,341000000,-548000000,634000000,791000000,0,0,,46000000,46000000,,0,1257000000,,0,,295000000,,372000000.0,2018-10-25,1.13,1.1253,0.0047,0.4177,32.369998931884766,7318.339844,2019-10-25,30.86000061035156,8243.120117,AAL,12.636476205162683,-4.664808067218818,0
2018-06-30,4369000000,11377000000,7008000000,2898000000,1004000000,3478000000,,5441000000,30000000,-266000000,-3000000,263000000,11643000000,-15000000,,457000000,756000000,200000000,266000000,566000000,541000000,1019000000,1476000000,556000000,52622000000,9176000000,293000000,4674000000,1522000000,1941000000,49694000000,34424000000,16725000000,6248000000,2157000000,4091000000,4381000000,,4381000000,1039000000,9022000000,53491000000,16669000000,2053000000,,2213000000,2213000000,36822000000,,,2213000000,,-233000000,3700000000,2357000000,-869000000,,-610000000,5000000,460502096.0,1094000000,294000000,,,,,952000000,,,566000000,-79000000,-1110000000,,376000000,376000000,,46000000,46000000,,0,656000000,,-376000000,,520000000,,556000000.0,2018-07-26,1.63,1.5907,0.0393,2.4706,40.02000045776367,7852.180176,2019-07-26,31.239999771118164,8330.209961,AAL,6.087860623232855,-21.93903194956669,0
2018-03-31,3648000000,10136000000,6488000000,2529000000,396000000,3373000000,,5220000000,25000000,-265000000,-3000000,262000000,10401000000,79000000,,440000000,238000000,79000000,265000000,186000000,141000000,500000000,940000000,159000000,53280000000,9673000000,297000000,5291000000,1455000000,1809000000,49891000000,34333000000,16159000000,6284000000,2193000000,4091000000,4994000000,,4994000000,1118000000,9274000000,54298000000,17008000000,1953000000,,2793000000,2793000000,37290000000,,,2793000000,,-230000000,3537000000,2475000000,-1018000000,,-1130000000,5000000,467390481.0,1800000000,261000000,,,,,779000000,,,186000000,-956000000,-842000000,,461000000,461000000,,48000000,48000000,,0,236000000,,-461000000,,2000000,,159000000.0,2018-04-26,0.75,0.7102,0.0398,5.6041,42.369998931884766,7118.680176,2019-04-26,33.060001373291016,8146.399902,AAL,14.436941969451954,-21.973088962217744,0
2017-12-31,10461000000,10600000000,139000000,2395000000,638000000,6175000000,,139000000,24000000,-266000000,,266000000,10611000000,11000000,,447000000,408000000,991000000,266000000,690000000,-610000000,674000000,1121000000,-583000000,52785000000,9146000000,295000000,5066000000,1359000000,1752000000,48544000000,34156000000,15646000000,6303000000,2203000000,4100000000,4771000000,,4771000000,969000000,9483000000,48859000000,15358000000,1688000000,,2554000000,2554000000,38207000000,,21818000000,2476000000,24294000000,-236000000,3953000000,2498000000,3926000000,,3361000000,5000000,475507887.0,437000000,267000000,,,,,1408000000,,,690000000,-557000000,75000000,,243000000,243000000,,48000000,48000000,,0,898000000,,-243000000,,690000000,,-583000000.0,2018-01-25,0.95,0.9198,0.0302,3.2833,53.04999923706055,7411.160156,2019-01-25,34.97999954223633,7164.859863,AAL,-3.323370266133008,-34.062205381146505,0
2017-09-30,4315000000,10612000000,6297000000,2345000000,1256000000,3395000000,,5172000000,25000000,-266000000,,266000000,10965000000,48000000,,433000000,1063000000,402000000,266000000,624000000,646000000,1329000000,1762000000,661000000,52401000000,10002000000,340000000,5768000000,1315000000,1700000000,49242000000,33311000000,15416000000,6305000000,2214000000,4091000000,,,5428000000,1219000000,9088000000,48453000000,15307000000,1638000000,,2467000000,2467000000,33146000000,,,2467000000,,-238000000,3656000000,3462000000,3948000000,,3152000000,5000000,479999894.0,369000000,268000000,,,,,1369000000,,,624000000,185000000,-599000000,,359000000,359000000,,49000000,48000000,,0,535000000,,-359000000,,575000000,,661000000.0,2017-10-26,1.42,1.398,0.022,1.5737,48.61000061035156,6556.77002,2018-10-26,32.459999084472656,7167.209961,AAL,9.310070951672621,-33.22361926167049,0
2017-03-31,3556000000,9367000000,5811000000,2137000000,737000000,3143000000,,4828000000,21000000,-257000000,,257000000,9820000000,34000000,,405000000,535000000,195000000,257000000,234000000,326000000,792000000,1197000000,340000000,52627000000,10626000000,374000000,6676000000,1154000000,1397000000,49707000000,32291000000,14640000000,6327000000,2236000000,4091000000,,,6302000000,1399000000,9710000000,49170000000,15286000000,1882000000,,1714000000,1714000000,33884000000,,,1714000000,,-243000000,3336000000,2753000000,3457000000,,1823000000,5000000,495749816.0,2250000000,259000000,,,,,1714000000,,,234000000,-1870000000,-349000000,,484000000,484000000,,51000000,51000000,,0,899000000,,-484000000,,52000000,,340000000.0,2017-04-27,0.61,0.5724,0.0376,6.5688,43.97999954223633,6048.939941,2018-04-27,43.400001525878906,7119.799805,AAL,17.703264943030117,-1.318776767608687,0
2020-09-30,-12169000,46269000,58438000,,-15221000,116000,,116000,,-363000,,363000,45066000,,,269000,2433000,557000,363000,1876000,4184000,2796000,3065000,1876000,384952000,23263000,8940000,23263000,,,8779000,4997000,,2544000,2544000,,274657000,1238000,14323000,-297997000,-263558000,256937000,22814000,,,,,234802000,,33738000,,,33738000,30198000,234802000,128015000,7341000,36042000,22401000,20414279.0,-1462000,32539000,,-5006000,-1504000,-621000,28000,-1347000,,1876000,-5873000,-79000,,0,0,,399000,0,,,,,2000,,1876000,,1876000.0,2020-12-31,0.5536,,,,2.059999942779541,12888.280273,2021-12-31,2.450000047683716,15644.969727,AAME,21.389117831143544,18.932044453261042,0
2020-06-30,-4415000,49737000,54152000,,-7527000,408000,,408000,,-414000,,414000,46499000,,,252000,8281000,1749000,414000,6532000,22329000,8695000,,6532000,385737000,32319000,16354000,32319000,,,8941000,5159000,,2544000,2544000,,266900000,1238000,15965000,27562000,-153451000,261843000,228105000,,,,,33738000,,33738000,,,33738000,35091000,238449000,123894000,7261000,34266000,22401000,20454001.0,11070000,28584000,,15400000,8647000,-843000,122000,9296000,,6532000,-3046000,-8000,,0,0,,399000,399000,,,,,2000,,6532000,,6532000.0,2020-09-30,0.086,,,,2.0,11167.509766,2021-09-30,4.150000095367432,14448.580078,AAME,29.380500942021758,107.50000476837158,1
2020-03-31,-27922000,39410000,67332000,,-31227000,353000,,353000,,-476000,-476000,476000,45550000,,,251000,-10227000,-2140000,476000,-8087000,-16879000,-9751000,,-8087000,347861000,22805000,8338000,22805000,,,9101000,5319000,,2544000,2544000,,241225000,1238000,14467000,33102000,-229401000,246343000,212605000,,,,,33738000,,33738000,,,33738000,19276000,226584000,101518000,7632000,27834000,22401000,20438366.0,-10512000,36333000,,-12988000,-3720000,556000,38000,-3218000,,-8087000,5954000,3000,,0,0,,399000,399000,,,,,3000,,-4555000,,-8087000.0,2020-06-30,0.2994,,,,1.659999966621399,10058.769531,2021-06-30,4.320000171661377,14503.950195,AAME,44.19209178916419,160.24097942928765,1
2019-12-31,-53663000,52289000,105952000,67139000,65787000,415000,,78831000,,-506000,-506000,506000,46669000,,,408000,1641000,371000,506000,1270000,1938000,2147000,,1270000,377626000,35815000,12893000,35815000,,,9258000,5476000,,2544000,2544000,,268637000,1238000,22922000,32135000,-163080000,259232000,225494000,,,,,33738000,,33738000,,,33738000,26035000,235644000,118394000,7580000,36020000,22401000,20472162.0,5763000,32109000,,3783000,-3941000,408000,25000,-3208000,,1270000,-28467000,-416000,,0,0,,399000,0,,,,,3000,,-23120000,,1270000.0,2020-03-31,-0.3999,,,,2.109999895095825,7700.100098,2021-03-31,3.680000066757202,13246.870117,AAME,72.0350378359458,74.40759477336731,1
2019-09-30,-21693000,47745000,69438000,39415000,-24459000,338000,,338000,,-533000,-533000,533000,45113000,,,251000,-1744000,-352000,533000,-1392000,3672000,-1211000,,-1392000,383335000,55520000,36013000,55520000,,,9413000,5631000,,2544000,2544000,,247392000,1238000,19507000,30481000,-140876000,266924000,233186000,,,,,33738000,,33738000,,,33738000,28152000,266924000,116411000,7562000,34850000,22401000,20479501.0,-351000,35046000,,-3312000,-4900000,251000,12000,-5476000,,-1392000,24929000,-15000,,0,0,,0,0,,,,,8000,,-1392000,,-1392000.0,2019-12-31,0.0553,,,,1.9700000286102293,8972.599609,2020-12-30,2.0999999046325684,12870.0,AAME,43.436691269391936,6.598978382454623,0
2019-06-30,-25175000,43127000,68302000,38631000,-27686000,556000,,556000,,-545000,-545000,545000,45469000,,,144000,-5589000,-1163000,545000,-4426000,1383000,-5044000,,-4426000,371730000,31905000,11450000,31905000,,,9567000,5785000,,2544000,2544000,,254393000,1238000,20455000,30253000,-141625000,258960000,225222000,,,,,33738000,,33738000,,,33738000,33947000,258960000,112770000,8049000,36342000,22401000,20160859.0,-273000,69299000,,18526000,16879000,144000,6000,17329000,,-4426000,3561000,-452000,,22000,22000,,403000,403000,,,,,-14000,,-4426000,,-4426000.0,2019-09-30,-0.0737,,,,2.7699999809265137,7999.339844,2020-09-29,1.9800000190734863,11085.25,AAME,38.577060309728225,-28.519854414901,0
2018-09-30,-19804000,46370000,66174000,35418000,-22764000,70000,,70000,,-529000,,529000,42829000,,,251000,1072000,138000,529000,934000,601000,1601000,,934000,339549000,33743000,10038000,33743000,,,3782000,,,2544000,2544000,,245020000,1238000,23705000,24022000,-150134000,237431000,203693000,,,,,33738000,,33738000,,,33738000,26272000,221551000,102118000,7850000,37107000,22401000,20218836.0,1277000,1010000,,-2655000,-4579000,2708000,28000,-4809000,,934000,1394000,-120000,,103000,-94000,,0,0,,,,,103000,,2551000,,934000.0,2018-12-31,0.005,,,,2.4100000858306885,6635.279785,2019-12-31,1.9700000286102293,8972.599609,AAME,35.22564081297441,-18.257263134859937,0
2020-12-31,11277000,52326000,54661000,41049000,-13161000,13612000,10826000,24438000,35000,-1211000,35000,1211000,52326000,902000,6300000,6383000,-13435000,4000,1211000,-13439000,-6927000,-12224000,-5841000,-13439000,480805000,209169000,43425000,43425000,110397000,43443000,271636000,252984000,142434000,9853000,9853000,9853000,5400000,,,11904000,982000,202914000,103148000,29482000,303000,38283000,55155000,21912000,82000,52169000,38265000,13904000,52169000,18208000,8008000,277891000,,-88509000,25000,25110000.0,-14104000,601000,,-25988000,-15548000,6627000,3776000,-8378000,-3629000,-13439000,-4272000,10463000,-4669000,,,,,,,16571000,0,,16570000,,-13439000,,-13439000.0,2021-02-25,-0.2,-0.2319,0.0319,13.7559,11.170000076293944,13119.429688,2022-02-25,3.450000047683716,13694.620117,AAOI,4.3842639709111175,-69.11369718783047,0
2020-09-30,19190000,74857000,72281000,57418000,-6779000,14763000,11206000,25969000,26000,-1480000,26000,1480000,76337000,866000,6100000,6196000,-7367000,2249000,1480000,-9616000,-3920000,-5887000,309000,-9616000,497787000,229930000,46772000,46772000,111427000,51453000,267857000,249740000,133561000,9671000,9671000,9671000,10000000,,,20278000,558000,232621000,132318000,56134000,404000,44309000,58658000,22657000,86000,58856000,44292000,14564000,58856000,17122000,,265166000,,-75070000,23000,22887000.0,-6136000,2605000,,12321000,21446000,6200000,5541000,7109000,11941000,-9616000,-5856000,11877000,5362000,,,,,,,8703000,0,,8714000,,-3116000,,-9616000.0,2020-11-05,-0.06,-0.0846,0.0246,29.078,10.020000457763672,11890.929688,2021-11-05,5.860000133514404,15971.589844,AAOI,34.317418932500196,-41.51696740718237,0
2020-06-30,13736000,63846000,65627000,51486000,-11108000,14041000,10803000,24844000,47000,-1489000,47000,1489000,65335000,974000,6000000,6123000,-11576000,7024000,1489000,-18600000,-17146000,-10087000,-3964000,-18600000,478091000,213009000,51131000,51131000,97251000,50029000,265082000,244126000,126778000,9461000,9461000,9461000,5100000,,,6820000,1703000,220636000,119769000,51154000,455000,42251000,53058000,23428000,91000,57776000,42234000,15542000,57776000,10824000,7886000,257455000,,-65454000,22000,21941000.0,-15523000,565000,,14074000,30782000,6100000,4068000,18526000,10829000,-18600000,-6019000,18247000,-662000,,,,,,,14004000,0,,14007000,,-11300000,,-18600000.0,2020-08-06,-0.24,-0.2529,0.0129,5.1008,15.050000190734863,11108.070313,2021-08-06,7.150000095367432,14835.759766,AAOI,33.55838906274664,-52.4916943205812,0
2020-03-31,6338000,39151000,53734000,34129000,-17794000,13574000,10558000,24132000,147000,-1455000,147000,1455000,40606000,256000,5900000,6031000,-18846000,-2049000,1455000,-16797000,-19199000,-17391000,-11360000,-16797000,453536000,182688000,55908000,55908000,87109000,25783000,270848000,243717000,121682000,9532000,9532000,9532000,5700000,,,7279000,765000,196037000,95514000,36236000,310000,38113000,48601000,23288000,95000,53411000,38096000,15315000,53411000,10505000,7973000,257499000,,-46854000,20000,20249000.0,-8246000,2556000,,-3709000,-2714000,6220000,2899000,-8836000,4533000,-16797000,-3200000,6854000,8313000,,,,,,,-75000,0,,-75000,,-4592000,,-16797000.0,2020-05-07,-0.44,-0.3724,-0.0676,-18.1525,12.199999809265137,8979.660156,2021-05-07,7.579999923706055,13752.240234,AAOI,53.14878286135443,-37.868852113017915,0
2019-12-31,11336000,48658000,50115000,37322000,-12054000,12793000,10597000,23390000,196000,-1402000,196000,1402000,48658000,98000,5900000,6032000,-13163000,22267000,1402000,-35430000,-31167000,-11761000,-5729000,-35430000,466825000,192804000,59977000,59977000,85028000,34655000,274021000,248444000,116979000,9679000,9679000,9679000,6100000,,,6093000,724000,193031000,91355000,32828000,312000,34353000,40663000,24635000,100000,49923000,33371000,16552000,49923000,7292000,8083000,273794000,,-30057000,20000,20140000.0,-3165000,570000,,7083000,803000,6219000,2950000,5180000,1637000,-35430000,-5119000,3010000,4292000,,,,,,,0,0,,6000,,-35430000,,-35430000.0,2020-02-27,-0.18,-0.2297,0.0497,21.6369,9.5600004196167,8566.480469,2021-02-26,9.324999809265137,13192.349609,AAOI,53.99964614102479,-2.458165272350321,0
2019-09-30,11976000,44889000,46714000,34108000,-10996000,12506000,10466000,22972000,347000,-1517000,347000,1517000,46406000,1446000,5900000,6018000,-10720000,-1940000,1517000,-8780000,-12233000,-9203000,-3185000,-8780000,483878000,190647000,69994000,69994000,82118000,29709000,293231000,245535000,110499000,9623000,9623000,9623000,1300000,,,6444000,973000,181593000,64423000,28074000,,16727000,20807000,117170000,8886000,48176000,15803000,109208000,48176000,924000,7962000,302285000,,5372000,20000,20061000.0,-5756000,2761000,,-1813000,12124000,6000000,-123000,1303000,3149000,-8780000,-6159000,249000,-1629000,,,,,,,0,-2000,,1000,,1498000,55000,-8780000.0,2019-11-06,-0.15,-0.2387,0.0887,37.1596,11.710000038146973,8410.629883,2020-11-05,10.020000457763672,11890.929688,AAOI,41.37977599079188,-14.432105677864126,0
2019-06-30,10538000,42137000,46188000,32873000,-13828000,13215000,11151000,24366000,310000,-1490000,310000,1490000,43627000,451000,5900000,6016000,-14557000,-3191000,1490000,-11366000,-14695000,-13067000,-7051000,-11366000,495122000,201035000,81070000,81070000,81475000,28542000,294087000,247887000,105777000,9771000,9771000,9771000,1200000,,,7031000,1080000,183407000,68127000,31526000,,20083000,22615000,115280000,9085000,49648000,19180000,107098000,49648000,903000,8182000,311715000,,14152000,20000,19951000.0,7127000,753000,,4849000,-3301000,6000000,13635000,-3717000,958000,-11366000,-11803000,11318000,8581000,,,,,,,0,-14000,,0,,453000,-114000,-11366000.0,2019-08-07,-0.26,-0.3744,0.1144,30.5556,10.210000038146973,7862.830078,2020-08-06,15.050000190734863,11108.070313,AAOI,41.273182846467726,47.40450670425569,1
2019-03-31,12351000,51481000,59351000,40368000,-11869000,13035000,11185000,24220000,72000,-996000,-1157000,996000,52477000,-155000,5800000,5948000,-12948000,-2474000,996000,-10474000,-8126000,-11952000,-6004000,-10474000,491205000,203274000,74930000,74930000,84464000,32202000,249556000,242623000,101049000,4001000,4001000,9895000,,,,9149000,2932000,167587000,65175000,28332000,,18168000,24419000,17535000,9491000,35703000,18168000,17535000,35703000,1053000,8438000,323618000,,25518000,20000,19888000.0,40000,421000,,-7277000,-10618000,6143000,12967000,1589000,-7304000,-10474000,-9035000,28019000,-14423000,,,,,,,0,76378000,,7000,,19024000,431000,-10474000.0,2019-05-08,-0.27,-0.2167,-0.0533,-24.5962,12.0600004196167,7943.319824,2020-05-07,12.199999809265137,8979.660156,AAOI,13.04669023735887,1.1608572535430017,0
2018-12-31,10537000,58018000,58953000,47481000,-12277000,11472000,11342000,22814000,59000,-482000,,482000,58018000,71000,7800000,7891000,-12206000,-3638000,482000,-8568000,-8801000,-11724000,-3833000,-8568000,466840000,194275000,55646000,55646000,93256000,30534000,245037000,234211000,95233000,3977000,3977000,9791000,2400000,,,12481000,6849000,137746000,77418000,29910000,426000,23589000,28217000,60328000,0,83917000,23589000,60328000,83917000,1792000,,329094000,,35992000,20000,19810000.0,-11596000,323000,,-25183000,-18007000,7942000,19719000,-1494000,-12885000,-8568000,-5489000,16867000,6516000,,,,,,,0,,,0,,-8568000,147000,-8568000.0,2019-02-21,-0.02,-0.0438,0.0238,54.3379,14.600000381469728,7459.709961,2020-02-21,11.279999732971191,9576.589844,AAOI,28.377509233833887,-22.739729875022952,0
2018-09-30,17537000,56661000,51910000,38849000,-9604000,12961000,14180000,27141000,86000,-274000,,274000,56935000,578000,7400000,7516000,-9026000,-5294000,274000,-3732000,-8530000,-8752000,-1236000,-3732000,481085000,215170000,56380000,62402000,107905000,32028000,241590000,222545000,87652000,3971000,3971000,9803000,,,6022000,11140000,15074000,145600000,82704000,53706000,,8275000,8275000,62896000,,71171000,8275000,62896000,71171000,2669000,,335485000,,44560000,20000,19634000.0,7546000,270000,,6043000,18016000,7500000,21491000,-16640000,19674000,-3732000,-35805000,8632000,1588000,,,,,,,0,,,67000,,9762000,-241000,-3732000.0,2018-11-07,0.14,0.0744,0.0656,88.172,19.3799991607666,7570.75,2019-11-07,10.6899995803833,8434.519531,AAOI,11.409299356074353,-44.840041056222404,0
